realization,seed,N,K,t_final,samples,inter_edge_decay_rate,extinct,mean_prevalence,final_prevalence,mean_s_frac,final_s_frac,mean_r_frac,final_r_frac,mean_d_frac,final_d_frac,mean_infected_virulence,final_infected_virulence,mean_virulence_variance,final_virulence_variance,cumulative_deaths,mean_intercommunity_transmissions,final_intercommunity_transmissions,mean_active_edges,final_active_edges,mean_inter_edges,final_inter_edges,realized_clustering
0,,120,3,200.0,101,0.02,1,0.006105610561056106,0.0,0.5292904290429045,0.7083333333333334,0.46460396039603946,0.2916666666666667,0.0,0.0,0.39341933595747947,nan,0.00039987418379190475,nan,6,7.920792079207921,8,479.05940594059405,480.0,0.0,0.0,0.6252645502645506
1,,120,3,200.0,101,0.02,1,0.021947194719471944,0.0,0.3801980198019803,0.5916666666666667,0.5978547854785478,0.4083333333333333,0.0,0.0,0.41277125465558945,nan,0.0009561488152536344,nan,2,8.207920792079207,9,477.44554455445547,480.0,0.0,0.0,0.6095238095238094
2,,120,3,200.0,101,0.02,1,0.0,0.0,0.650990099009901,0.7666666666666667,0.349009900990099,0.23333333333333334,0.0,0.0,nan,nan,nan,nan,7,6.0,6,480.0,480.0,0.0,0.0,0.6298280423280428
3,,120,3,200.0,101,0.02,0,0.08754125412541254,0.15,0.3320957095709572,0.19166666666666668,0.5803630363036304,0.6583333333333333,0.0,0.0,0.36363589158412113,0.3819949472440611,0.0010428568767765912,0.002141348024261471,8,14.752475247524753,21,471.6831683168317,467.0,0.0,0.0,0.6091269841269844
4,,120,3,200.0,101,0.02,1,0.0,0.0,0.6457920792079209,0.7916666666666666,0.35420792079207936,0.20833333333333334,0.0,0.0,nan,nan,nan,nan,4,9.0,9,480.0,480.0,0.0,0.0,0.6389219576719581
5,,120,3,200.0,101,0.02,1,0.0,0.0,0.642821782178218,0.8333333333333334,0.35717821782178205,0.16666666666666666,0.0,0.0,nan,nan,nan,nan,7,10.0,10,479.0,479.0,0.0,0.0,0.6321428571428573
6,,120,3,200.0,101,0.02,1,0.0004125412541254125,0.0,0.5889438943894391,0.7416666666666667,0.41064356435643556,0.25833333333333336,0.0,0.0,0.5463751170000309,nan,0.0,nan,5,9.0,9,479.65346534653463,480.0,0.0,0.0,0.6305886243386248
7,,120,3,200.0,101,0.02,1,0.0005775577557755776,0.0,0.5916666666666666,0.7666666666666667,0.40775577557755777,0.23333333333333334,0.0,0.0,0.2995823332917971,nan,0.0,nan,1,10.0,10,478.9306930693069,479.0,0.0,0.0,0.622321428571429
8,,120,3,200.0,101,0.02,1,0.020049504950495053,0.0,0.558085808580858,0.7583333333333333,0.4218646864686469,0.24166666666666667,0.0,0.0,0.4029792906283053,nan,0.0034103336676351735,nan,4,11.881188118811881,12,477.2277227722772,480.0,0.0,0.0,0.6297619047619049
9,,120,3,200.0,101,0.02,1,0.0,0.0,0.7066006600660065,0.8666666666666667,0.2933993399339934,0.13333333333333333,0.0,0.0,nan,nan,nan,nan,5,7.0,7,480.0,480.0,0.0,0.0,0.607440476190476
